Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2008001,General Information,Business,"Phase I environmental site assessment {address removed}, Waterloo. ",No records exist,0
2008002,General Information,Public,Fines against restaurants in Kitchener and Waterloo between 2005/1/1 and 2007/12/31 for violation of smoking restrictions.,Partly exempted,1
2008003,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Withdrawn,2
2008004,General Information,Public,Total revenue and expenses for Grand River Transit from 1997 to 2007.,All disclosed,3
2008005,General Information,Business,"Phase I environmental site assessment {address removed}, Elmira.",Withdrawn,4
2008006,General Information,Public,"Septic system permit records for {addresses removed}, Waterloo for the period of 1980 to 1983.",All disclosed,5
2008007,General Information,Public,Bus shelter advertising contracts with independent contractors.,All disclosed,6
2008008,General Information,Business,"Transportation Operations records for all roads cleared on November 17 and 18, 2005.",All disclosed,7
2008009,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Partly exempted,8
2008010,General Information,Business,"Phase I environmental site assessment for {address removed}, North Dumfries Township.",No records exist,9
2008011,General Information,Business,Work orders and invoices for two companies: {company names removed}.,Partly exempted,10
2008012,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",No records exist,11
2008013,General Information,Public,Authority to fluoridate water outside of Waterloo.,Partly non-existent,12
2008014,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Partly non-existent,13
2008015,General Information,Business by Agent,"Subdivision file RP1694, Wilmot Township.",All disclosed,14
2008016,General Information,Business,"Number and type of section 22 orders issued under the Health Protection and Promotion Act from 1998 to date; policies and procedures used in relation to issuing the orders.",Partly non-existent,15
2008017,Personal Health Information/General Information,Individual by Agent,Rabies control investigation file. ,Partly exempted,16
2008018,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge.",No records exist,17
2008019,General Information,Public,"Public Health inspection records regarding {address removed}, Waterloo from August 2007 to date.",No records exist,18
2008020,General Information,Public,"Details about Region of Waterloo monitoring wells drilled at {address removed} Puslinch Township; ownership of wells, lease agreements and remuneration.",All disclosed,19
2008021,Personal Information,Individual by Agent,A complete copy of Ontario Disability Support Program client file for {name removed}.,Partly non-existent,20
2008022,Personal Information,Public,"Allegations and statements about requester supplied by third parties, including {institutions removed}, former spouse and her lawyer.",Nothing disclosed,21
2008023,General Information,Public,"Phase I ESA - Environmental Enforcement Services records for 1665 Highland Road West, Kitchener",No records exist,22
2008024,General Information,Business,"Work orders and timing for traffic signals at {intersection removed} regarding accident on July 9, 2007.",All disclosed,23
2008025,Personal Health Information/General Information,Individual by Agent,"Emergency Medical Services and Waterloo Regional Police Service response records related to the suicide of {name removed} at {location removed} on October 19, 2007.",All disclosed,24
2008026,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,25
2008027,General Information,Individual by Agent,"Ambulance Call Reports related to {address removed}, Waterloo.",All disclosed,26
2008028,General Information,Business,Grand River Transit agreement with {company removed} regarding bench advertising.,All disclosed,27
2008029,General Information,Business,"Environmental Enforcement Services incident reports for November 6 and December 19, 2007 regarding hydrogen sulfide emanating from sewer on {location removed}, Kitchener affecting the {facility removed}.",Partly exempted,28
2008030,General Information,Business,"Phase I environmental site assessment for {address removed}, Waterloo.",All disclosed,29
