Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2015001,Personal,Individual by agent ,Copy of any Ontario Disability Service Program file for {name removed} from November 2011 to present.,No responsive records exist,0
2015002,Personal,Individual by agent ,"Ontario Works client file {name removed}  from January 1, 2011 to present.",No responsive records exist,1
2015003,General ,Individual by agent ,"A file search for tobacco on Big Bear Food Mart, 159 Highland Road East, Kitchener.",Information disclosed in part,2
2015004,General ,Business ,"1. A copy of the successful proposal in response to the RFP C2014-39 for Tender Preparation, Contract Administration and Construction Inspection Services for the Construction of the Waterloo Spur Line Trail from Regina Street in the City of Waterloo to Ahrens Street in the City of Kitchener issued by the Regional Municipality of Waterloo on October 15, 2014.� Please exclude any promotional material that may have been submitted with the proposal and may be considered proprietary. 2. The total number of submissions and the dollar value of the top three submissions for RFP C2014-39.",Information disclosed in part,3
2015005,General ,Individual ,a Copy of Plan TC-246-K Signal Design Dated 9/12/03 housed on the 7th floor at the Region of Waterloo (Traffic Control),All information disclosed,4
2015006,Personal,Individual by agent ,Copy of {name removed} complete Ontario Works file.,All information disclosed,5
2015007,Personal,Individual by agent,"Complete copy of {name removed} Social Assistance file from January 1, 2011 to present",No responsive records exist,6
2015008,General ,Individual by agent ,"Complete file regarding {name removed} dog attack on October 26, 2014",Information disclosed in part,7
2015009,Personal,Individual by agent ,"Complete copy of {name removed} Ontario Disability Support Program file from May 30, 2009 to present.",No responsive records exist,8
2015010,Personal,Individual by agent ,"Copy of the video from the Grand River Transit bus cameras together with copies of any and all records in relation to the incident that occurred on Route 22 on June 18, 2014.",All information disclosed,9
2015011,General ,Business ,"A list of company names and addresses that were monitored by the Region of Waterloo in 2014 for compliance with By-Law 1-90, sewer use, and identify which companies failed to comply with the discharge limits.",All information disclosed,10
2015012,Personal,Individual by agent,"Copy of {name removed} Ontario Works File from 3 years prior to January 22, 2013, including the application and medical reports at the time it was submitted.",No responsive records exist,11
2015013,General ,Business ,"Any environmental concerns files regarding previous 75 Columbia Street East, Waterloo, which now consists of 45, 55, & 75 Columbia Street.",Information disclosed in part,12
2015014,Personal,Individual ,"Video footage from a MobilityPLUS vehicle on October 19, 2014 in relation to an incident involving {name removed}.",All information disclosed,13
2015015,Personal,Individual,Complete copy of {name removed} Ontario Works client file.,Information disclosed in part,14
2015016,Personal,Individual by agent,Copy of {name removed} complete Ontario Works File while in Kitchener program,All information disclosed,15
2015017,General ,Individual,Hopewell now Bentall Developments � BMP Agreements between the Region and Bentall/Safety Kleen including emergency response documents if any and all agreements between the Region and Hopewell/Bentall Developments,Information disclosed in part,16
2015018,General ,Individual,"Site Conditions on Property surrounding 420 Pinebush Rd., including 420 Pinebush Rd., 400-410 Pinebush Rd. Cambridge including EA Reports and MOE Approval",Information disclosed in part,17
2015019,General ,Individual ,"Development agreement, all maps as well as communications between the Region of Waterloo, City of Cambridge and Hopewell Developments and City Edge Developments for the �Temporary Private Sanitary Pump Station� and �Forcemain outlet installed at Fleming Drive Crossing Pinebush Rd.�",No responsive records exist,18
2015020,Personal,Individual by agent ,Copy of {name removed} complete Ontario Works File,All information disclosed,19
2015021,General ,Individual by agent ,"Complete file regarding {name removed} dog attack on June 15, 2013",Information disclosed in part,20
2015022,Personal,Individual ,"Video footage taken on the number 8 bus to Fairway at the point where it stopped to collect passengers around 8:12 pm at Lincoln and Weber in the City of Waterloo on May 12, 2015",Information disclosed in part,21
2015023,General ,Business ,1.�Doon Valley Manor Supportive Housing assessment sheet results for Proponent Description in the Region of Waterloo�s Prequalification-PQ2014-04   2.�Doon Valley Manor Supportive Housing assessment sheet results for Proposed Program Description� in the Region of Waterloo�s Prequalification-PQ2014-04,Information disclosed in part,22
2015024,General ,Individual by agent ,"Any records regarding the RMOW's special council meeting on May 26, 2015, specifically the determination that the matter was urgent, and that the notice procedures in the Procedural By-law should be waived; staff report to Council dated May 26, 2015.",Request withdrawn,23
2015025,Personal,Individual by agent,Complete Ontario Works file of {name removed},All information disclosed,24
2015026,Personal,Individual,"A copy of video surveillance for May 28, 2015 between 1:00 pm - 12:00 am at Kitchener bus terminal upper level. ",No responsive records exist,25
2015027,Personal,Individual by agent,Complete Ontario Works file of {name removed},All information disclosed,26
2015028,Personal,Individual by agent ,Complete Ontario Works file of {name removed},All information disclosed,27
