Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2011001,General Information,Public,"Information about staffing, benefits and remuneration of Social Services employees; hourly wages and benefits for external agencies and sole proprietors that Region contracts to provide Social Services.",Partly exempted,0
2011002,General Information,Public,Request for information about laser speed unit and Ontario Provincial Police officer related to a speeding ticket trial in the Provincial Offences Court.,Withdrawn,1
2011003,General Information,Business,"Phase 1 Environmental site assessment for {address removed}, Kitchener.",All disclosed,2
2011004,General Information,Business,"Phase 1 Environmental site assessment for {address removed}, Waterloo.",Partly non-existent,3
2011005,General Information,Business,"Food premise inspections for {restaurant name removed} from November 24, 2010 to date.",All disclosed,4
2011006,General Information,Business,"Phase I environmental site assessment for {address removed}, Petersburg.",Partly non-existent,5
2011007,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge. ",No records exist,6
2011008,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",All disclosed,7
2011009,General Information,Individual by Agent,Rabies control investigation file.,All disclosed,8
2011010,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,9
2011011,General Information,Public,"Receipt provided to Ontario Works client {name removed} for child care between November 14 and December 15, 2010. ",No records exist,10
2011012,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Partly non-existent,11
2011013,General Information,Business,"Records related to sidewalk repairs, inspections, complaints and falls at {address removed}, Kitchener.",Partly exempted,12
2011014,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",No records exist,13
2011015,General Information,Business,"Phase I environmental site assessment for{address removed}, Kitchener.",Withdrawn,14
2011016,General Information,Business,"Phase I environmental site assessment for {address removed}, North Dumfries.",No records exist,15
2011017,General Information,Business,List of companies paying a sewer surcharge for biochemical oxygen demand and the surcharge amount paid for 2010.,All disclosed,16
2011018,General Information,Business,"Phase I environmental site assessments for {addresses removed}, Waterloo.",All disclosed,17
2011019,General Information,Business,Winning bid for blueprinting services for 2011.,All disclosed,18
2011020,General Information,Business,"Sewer Surcharge Agreement Companies that have violated agreement in 2009, 2010 and 2011 and the non-compliant values.",Partly exempted,19
2011021,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,20
2011022,General Information,Business by Agent,Three environmental reports submitted with a subdivision application by {developer removed}.,All disclosed,21
2011023,General Information,Business ,"Phase I environmental site assessment for {address removed}, Waterloo.",Partly non-existent,22
2011024,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Withdrawn,23
2011025,General Information,Business,"Phase I environmental site assessment {address removed}, Waterloo.",Withdrawn,24
2011026,General Information,Business,"Phase environmental site assessment for {address removed}, Kitchener.",No records exist,25
2011027,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly non-existent,26
2011028,General Information,Business,"Phase I environmental site assessment for {address removed}, Waterloo.",All disclosed,27
2011029,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Withdrawn,28
2011030,General Information,Business,"Phase I environmental site assessment for{address removed}, Kitchener.",Withdrawn,29
2011031,General Information,Business ,"Phase I environmental site assessment for {address removed}, Kitchener.",Withdrawn,30
2011032,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge. ",No records exist,31
2011033,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Partly non-existent,32
2011034,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge. ",All disclosed,33
2011035,General Information,Business ,"Phase I environmental site assessment for {address removed}, Waterloo.",No records exist,34
201106,General Information,Business,"Phase I environmental site assessment for {address removed}, Waterloo.",No records exist,35
2011037,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Partly non-existent,36
2011038,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,37
2011039,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",No records exist,38
2011040,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Withdrawn,39
2011041,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge. ",No records exist,40
2012042,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener",Partly exempted,41
2012043,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge. ",All disclosed,42
