Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2004001,Personal Information,Public,Income statements and employer identity for period from December 1999 to December 2003.,All disclosed,0
2004002,Correction,Public,Return of original application from Prenatal Support Worker competition file 04-034.,Correction granted,1
2004003,General Information,Business,"Technical specifications and maintenance records form January 1 to June 23, 2003 for the red light camera at {intersection removed}, Kitchener.",Partly exempted,2
2004004,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,3
2004005,General Information,Public,Records related to laser speed detection unit and responsible officer related to a speeding charge before the Provincial Offenses Court.,Forwarded out,4
2004006,Personal Health Information/General Information,Public,Rabies control investigation from April 2003 regarding requester's dog.,Partly exempted,5
2004007,Personal Information,Public,A complete copy of Ontario Works client file for {name removed}.,All disclosed,6
2004008,Personal Information,Public,A complete copy of Ontario Works client file for {name removed}.,Partly non-existent,7
2004009,General Information,Business by Agent,"Oversize load permit and application issued to {company name removed} on July 8, 2003.",No records exist,8
2004010,Personal Information,Public,"Ontario Works income statements submitted by {name removed} in 1997, 1998, and 1999.",All disclosed,9
2004011,Personal Information,Public,Four records of correspondence from Ontario Works file for {name removed}.,Partly non-existent,10
2004012,General Information,Business by Agent,Four job descriptions of Region of Waterloo positions including the salary ranges and evaluation rating forms.,Partly exempted,11
2004013,Personal Health Information/General Information,Individual by Agent,Rabies control investigation file.,Partly exempted,12
2004014,General Information,Public,"Policies, procedures and by-laws regarding the retention of Waterloo Regional Police Service records.",Partly non-existent,13
2004015,Personal Information,Individual by Agent,"Food-borne illness incident records from {location removed}, Kitchener on September 5, 2004.",All disclosed,14
2004016,Personal Information,Individual by Agent,Social Worker client file pertaining to {name removed}.,All disclosed,15
2004017,General Information,Business,"Phase I environmental site assessment for {address removed}, Elmira.",All disclosed,16
2004018,General Information,Business,"Phase I environmental site assessment for {address removed}, Elmira.",All disclosed,17
2004019,General Information,Business,"Phase I environmental site assessment for {location removed}, Elmira.",All disclosed,18
2004020,Personal Information,Public,Requester's own personal information regarding support payments to {name removed}.,All disclosed,19
2004021,General Information,Public,Well water test results for {name removed} home prior to purchase.,All disclosed,20
2004022,General Information,Public,Information about requester supplied by {name removed} in relation to support payments.,Nothing disclosed,21
