Request_Number,Request_Type,Source,Summary_of_Request,Decision,OBJECTID
2012001,General Information,Media,Reports regarding an investigation of a collision between a pedestrian and GRT bus at Homer Watson Boulevard and Block Line Road roundabout {date removed}.,Nothing disclosed,0
2012002,General Information,Media ,Value for money analysis prepared by Deloitte for LRT project regarding private operation.,Nothing disclosed,1
2012003,General Information,Business,"Signage placement and changes to signage at Homer Watson Boulevard and Block Line Road between August and December 15, 2011.",All disclosed,2
2012004,Personal Health Information/General Information,Public,Rabies control investigation records regarding a bite by a Waterloo Regional Police Service dog on {date removed}.,Partly exempted,3
2012005,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge.",No records exist,4
2012006,General Information,Public,Information about land holdings related to benefits from LRT routes for Regional Councillors.,Withdrawn,5
2012007,General Information,Business,Phase I environmental site assessments for 7 properties along Stirling Avenue South and Mill Street in Kitchener.,Withdrawn,6
2012008,General Information,Business,Winning bid for blueprinting services for 2012.,All disclosed,7
2012009,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge.",Withdrawn,8
2012010,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,9
2012011,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,10
2012012,General Information,Media,"Assessments and related records concerning solid waste management and records exchanged between the Region of Waterloo and {company name removed}, {company name removed} and the Ministry of the Environment between January 2010 and April 2012.",Partly exempted,11
2012013,General Information,Business,"Phase I environmental site assessment for {address removed}, Waterloo.",No records exist,12
2012014,General Information,Business,"Phase I environmental site assessment for {address removed}, Elmira.",Withdrawn,13
2012015,General Information,Business,Specifications and price sheets for tanker truck rentals Q2012-1103.,Partly exempted,14
2012016,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",All disclosed,15
2012017,General Information,Business,Request for Proposal P2012-11 winning bid including staff assessments and scoring.,Withdrawn,16
2012018,General Information,Business,"Request for Proposal P2012-11 pricing of winning bid; delivery/pickup services section of winning bid; and scoring of the final bids.",Partly exempted,17
2012019,General Information,Business,"Phase I environmental site assessment for {address removed}, Cambridge.",No records exist,18
2012020,Personal Health Information/General Information,Public,Rabies control investigation records.,Partly exempted,19
2012021,General Information,Business,"Phase I Environmental site assessment for {address removed}, Cambridge.",No records exist,20
2012022,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,No records exist,21
2012023,General Information,Business,"Phase I Environmental site assessment for {address removed}, Kitchener.",All disclosed,22
2012024,General Information,Business,"Phase I Environmental site assessment for {address removed}, Waterloo.",No records exist,23
2012025,General Information,Business,"Phase I environmental site assessment for parcel of land in Hespeler {address removed}, including road right of way for part of Black Bridge Road and Town Line Road.",No records exist,24
2012026,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,25
2012027,General Information,Public,"Taxi owner, driver, broker identity and related vehicle information for {company name removed} and {company name removed} for 2012.",Partly exempted,26
2012028,General Information,Business,"Phase I Environmental site assessment for parcel of land near {address removed}, St. Jacob's.",Withdrawn,27
2012029,General Information,Business,"Phase I environmental site assessment for parcel of land {address removed}, Kitchener.",Withdrawn,28
2012030,General Information,Business,All records related to the Comprehensive Review for Employment Lands (City of Kitchener).,All disclosed,29
2012031,General Information,Business,"Financial records, audited statements, and correspondence regarding {company name removed} affordable housing.",All disclosed,30
2012032,General Information,Business,18 items relating to Housing Services Division involvement with property management suppliers and issues for {company name removed}.,Partly non-existent,31
2012033,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,32
2012034,General Information,Business,"Phase I environmental site assessment for {address removed}, Kitchener.",Withdrawn,33
2012035,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Withdrawn,34
2012036,General Information,Business,"Records related to sidewalk repairs, inspections, complaints and falls at {address removed}, Kitchener.",No records exist,35
2012037,Personal Health Information/General Information,Individual by Agent,Rabies control inspection records for incident occurring on {date removed}.,Partly exempted,36
2012038,General Information,Public,"Public Health inspection records related to the pool at {address removed}, Waterloo;  for period 2009/12/6 to date.",Partly exempted,37
2012039,General Information,Public,"Property standards inspections regarding balconies at {address removed}, Waterloo.",Forwarded out,38
2012040,General Information,Business,"Property standards inspections regarding {address removed}, Kitchener.",Forwarded out,39
2012041,General Information,Individual by Agent,"Video recording from GRT bus regarding a passenger struck by vehicle after exiting bus on {address removed}, Waterloo on November 2, 2012.",Nothing disclosed,40
